id,title,Carrera UGM,UGM
1533,Pedagogía en Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1534,Pedagogía en Educación Diferencial - Sede La Serena,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1535,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1536,Pedagogía en educación Física - Sede La Serena,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1537,Pedagogía en Educación General Básica,,
1538,Pedagogía en Lengua y Cultura Inglesas,,
1539,Pedagogía en Matemática y Estadística,,
1540,Periodismo,,
1541,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1542,Psicología - Sede La Serena,PSICOLOGÍA DIURNO,PSICSG1
1543,Publicidad,,
1544,Sociología - Sede La Serena,,
1545,Sociología - Sede Santiago,,
1546,Tecnología Médica,,
1547,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1548,Trabajo Social,,
1549,Bachillerato en Ciencias y Humanidades,,
1550,Contador Público y Auditor,,
1551,Derecho,DERECHO DIURNO,DERESG1
1552,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1553,Enfermería,ENFERMERIA DIURNO,ENFESG1
1554,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1555,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1556,Ingeniería en Administración,,
1557,Ingeniería en Prevención de Riesgos y Medio Ambiente,,
1558,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1559,Licenciatura en Educación,,
1560,Pedagogía en Castellano,,
1561,Pedagogía en Educación Artística,,
1562,Pedagogía en Educación Básica,,
1563,Pedagogía en Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1564,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1565,Pedagogía en Educación Técnica y Formación Profesional,,
1566,Pedagogía en Filosofía,,
1567,Pedagogía en Historia y Geografía,,
1568,Pedagogía en Inglés,,
1569,Pedagogía en Matemáticas e Informática Educativa,,
1570,Pedagogía en Religión Educación Básica y Media,,
1571,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1572,Sociología,,
1573,Trabajo Social,,
1574,Derecho,DERECHO DIURNO,DERESG1
1575,Derecho,DERECHO DIURNO,DERESG1
1576,Enfermería,ENFERMERIA DIURNO,ENFESG1
1577,Enfermería,ENFERMERIA DIURNO,ENFESG1
1578,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1579,Ingeniería Civil Industrial,,
1580,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1581,Ingeniería de Ejecución en Prevención de Riesgos y Medio Ambiente,,
1582,Ingeniería de Ejecución en Prevención de Riesgos y Medio Ambiente,,
1583,Ingeniería en Control de Gestión,INGENIERÍA EN CONTROL DE GESTIÓN DIURNO,INCGSG1
1584,Ingeniería en Geomensura y Cartografía,,
1585,Ingeniería en Geomensura y Cartografía,,
1586,Ingeniería en Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1587,Ingeniería en Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1588,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1589,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1590,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1591,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1592,Obstetricia y Puericultura,,
1593,Pedagogía en Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1594,Pedagogía en Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1595,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1596,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1597,Pedagogía en Educación General Básica,,
1598,Pedagogía en Educación General Básica,,
1599,Pedagogía en Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1600,Pedagogía en Historia y Geografía en Enseñanza Media,,
1601,Pedagogía en Historia y Geografía en Enseñanza Media,,
1602,Pedagogía en Inglés en Enseñanza Básica y Media,,
1603,Pedagogía en Inglés en Enseñanza Básica y Media,,
1604,Periodismo,,
1605,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1606,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1607,Relaciones Públicas y Comunicación Estartégica,,
1608,Tecnología Médica,,
1609,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1610,Animación Digital 3D,ANIMACION Y DISEÑO DIGITAL DIURNO,ANDISG1
1612,Derecho,DERECHO DIURNO,DERESG1
1615,Ingeniería Civil Industrial (Plan Especial Ejecutivo),,
1616,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1620,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1621,Arquitectura,,
1622,Biología Marina,,
1623,Ciencias Políticas y Administrativas,,
1624,Contador Público y Auditor,,
1625,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1626,Educación Parvularia - Campus Osorno,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1627,Educación Parvularia - Sede Chiloé,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1628,Enfermería - Osorno,ENFERMERIA DIURNO,ENFESG1
1629,Enfermería - Puerto Montt,ENFERMERIA DIURNO,ENFESG1
1630,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1631,Ingeniería Ambiental,,
1632,Ingeniería Civil en Informática - Osorno,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1633,Ingeniería Civil en Informática - Puerto Montt,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1634,Ingeniería Civil Industrial,,
1635,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1636,Ingeniería en Alimentos,,
1637,Kinesiología - Osorno,KINESIOLOGIA DIURNO,KINESG1
1638,Kinesiología - Puerto Montt,KINESIOLOGIA DIURNO,KINESG1
1639,Nutrición y Alimentación,NUTRICION Y DIETETICA DIURNO,NUDISG1
1640,Pedagogía Educación Media mención Educación Física - Osorno,,
1641,Pedagogía Educación Media mención Educación Física - Puerto Montt,,
1642,Pedagogía Educación Media mención Historia y Geografía,,
1643,Pedagogía Educación Media mención Inglés y Traducción,,
1644,Pedagogía Educación Media mención Lengua Castellana y Comunicaciones,,
1645,Pedagogía Educación Media mención Matemática y Computación,,
1646,Pedagogía en Educación Media en Artes,,
1647,Psicología - Osorno,PSICOLOGÍA DIURNO,PSICSG1
1648,Psicología - Puerto Montt,PSICOLOGÍA DIURNO,PSICSG1
1649,Trabajo Social,,
1650,Agronomía,,
1651,Arquitectura,,
1652,Auditoría,,
1653,Biología Marina,,
1654,Derecho,DERECHO DIURNO,DERESG1
1655,Enfermería,ENFERMERIA DIURNO,ENFESG1
1656,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1657,Ingeniería Civil en Computación e Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1658,Ingeniería Civil en Electricidad mención Electrónica Industrial,,
1659,Ingeniería Civil en Mecánica,,
1660,Ingeniería Civil en Química,,
1661,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1662,Ingeniería en Computación e Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1663,Ingeniería en Construcción,,
1664,Ingeniería Idustrial,,
1665,Ingeniería en Mecánica,,
1666,Ingeniería en Química y Medio Ambiente,,
1667,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1668,Medicina,,
1669,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1670,Pedagogía en Artes Musicales,,
1671,Pedagogía en Castellano y Comunicación para Enseñanza Media,,
1672,Pedagogía en Educación Básica,,
1673,Pedagogía en Educación Física para Enseñanaza Básica y Media,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1674,Pedagogía en Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1675,Pedagogía en Historia y Ciencias Sociales para Enseñanza Media,,
1676,Pedagogía en Inglés para Enseñanza Básica y Media,,
1677,Pedagogía en Matemáticas para Enseñanza Media,,
1678,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1679,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1680,Trabajo Social,,
1681,Agronomía,,
1682,Biotecnología,,
1683,Ciencias del Deporte y Actividad Física,,
1684,Contador Público y Auditor,,
1685,Contador Público y Auditor,,
1686,Derecho,DERECHO DIURNO,DERESG1
1687,Derecho,DERECHO DIURNO,DERESG1
1688,Derecho,DERECHO DIURNO,DERESG1
1689,Derecho,DERECHO DIURNO,DERESG1
1690,Derecho,DERECHO DIURNO,DERESG1
1691,Derecho,DERECHO DIURNO,DERESG1
1692,Derecho,DERECHO DIURNO,DERESG1
1693,Derecho,DERECHO DIURNO,DERESG1
1694,Derecho,DERECHO DIURNO,DERESG1
1695,Derecho,DERECHO DIURNO,DERESG1
1696,Derecho,DERECHO DIURNO,DERESG1
1697,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1698,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1699,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1700,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1701,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1702,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1703,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1704,Enfermería,ENFERMERIA DIURNO,ENFESG1
1705,Enfermería,ENFERMERIA DIURNO,ENFESG1
1706,Enfermería,ENFERMERIA DIURNO,ENFESG1
1707,Enfermería,ENFERMERIA DIURNO,ENFESG1
1708,Enfermería,ENFERMERIA DIURNO,ENFESG1
1709,Enfermería,ENFERMERIA DIURNO,ENFESG1
1710,Enfermería,ENFERMERIA DIURNO,ENFESG1
1711,Enfermería,ENFERMERIA DIURNO,ENFESG1
1712,Enfermería,ENFERMERIA DIURNO,ENFESG1
1713,Enfermería,ENFERMERIA DIURNO,ENFESG1
1714,Enfermería,ENFERMERIA DIURNO,ENFESG1
1715,Enfermería,ENFERMERIA DIURNO,ENFESG1
1716,Enfermería,ENFERMERIA DIURNO,ENFESG1
1717,Enfermería,ENFERMERIA DIURNO,ENFESG1
1718,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1719,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1720,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1721,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1722,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1723,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1724,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1725,Geología,,
1726,Ingeniería Civil en Minas,,
1727,Ingeniería Civil en Minas,,
1728,Ingeniería Civil Industrial,,
1729,Ingeniería Civil Industrial,,
1730,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1731,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1732,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1733,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1734,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1735,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1736,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1737,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1738,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1739,Ingeniería en Control de Gestión,INGENIERÍA EN CONTROL DE GESTIÓN DIURNO,INCGSG1
1740,Ingeniería en Control de Gestión,INGENIERÍA EN CONTROL DE GESTIÓN DIURNO,INCGSG1
1741,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1742,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1743,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1744,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1745,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1746,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1747,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1748,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1749,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1750,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1751,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1752,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1753,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1754,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1755,Medicina Veterinaria,,
1756,Medicina Veterinaria,,
1757,Medicina Veterinaria,,
1758,Medicina Veterinaria,,
1759,Medicina Veterinaria,,
1760,Medicina Veterinaria,,
1761,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1762,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1763,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1764,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1765,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1766,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1767,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1768,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1769,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1770,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1771,Periodismo,,
1772,Periodismo,,
1773,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1774,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1775,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1776,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1777,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1778,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1779,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1780,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1781,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1782,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1783,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1784,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1785,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1786,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1787,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1788,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1789,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1790,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1791,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1792,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1793,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1794,Relaciones Públicas,,
1795,Relaciones Públicas,,
1796,Trabajo Social,,
1797,Trabajo Social,,
1798,Trabajo Social,,
1799,Trabajo Social,,
1800,Trabajo Social,,
1801,Trabajo Social,,
1802,Trabajo Social,,
1803,Trabajo Social,,
1804,Trabajo Social,,
1805,Trabajo Social,,
1806,Trabajo Social,,
1807,Trabajo Social,,
1808,Trabajo Social,,
1809,Trabajo Social,,
1810,Construcción Civil,,
1811,Derecho,DERECHO DIURNO,DERESG1
1812,Enfermería,ENFERMERIA DIURNO,ENFESG1
1813,Geología,,
1814,Ingeniería Civil en Computación e Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1815,Ingeniería Civil en Materiales,,
1816,Ingeniería Civil en Minas,,
1817,Ingeniería Civil Industrial,,
1818,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1819,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1820,Licenciatura en Educación y Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1821,Licenciatura en Educación y Pedagogía en Educación General Básica,,
1822,Licenciatura en Educación y Pedagogía en Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1823,Licenciatura en Educación y Pedagogía en Inglés,,
1824,Licenciatura en Idioma Inglés y Traducción Inglés Español,,
1825,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1826,Obstetricia y Puericultura,,
1827,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1828,Técnico Universitario en Energías Renovables y Eficiencia Energética,,
1829,Técnico Universitario en Minas,,
1830,Tecnólogo en Administración de Empresas,,
1831,Técnologo en Electricidad,,
1832,Técnologo en  Instrumentación y Automatización Industrial,,
1833,Ténologo en Metalurgia,,
1834,Trabajo Social,,
1835,Agronomía,,
1836,Animación Digital,ANIMACION Y DISEÑO DIGITAL DIURNO,ANDISG1
1837,Arquitectura,,
1838,Arquitectura,,
1839,Comunicación Audiovisual y Multimedia,,
1840,Construcción Civil,,
1841,Construcción Civil,,
1842,Derecho,DERECHO DIURNO,DERESG1
1843,Derecho,DERECHO DIURNO,DERESG1
1844,Derecho,DERECHO DIURNO,DERESG1
1845,Derecho,DERECHO DIURNO,DERESG1
1846,Derecho,DERECHO DIURNO,DERESG1
1847,Derecho,DERECHO DIURNO,DERESG1
1848,Diseño de Vestuario,,
1849,Diseño Gráfico,ANIMACION Y DISEÑO DIGITAL DIURNO,ANDISG1
1850,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1851,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1852,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1853,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1854,Educación Diferencial,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1855,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1856,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1857,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1858,Enfermería,ENFERMERIA DIURNO,ENFESG1
1859,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1860,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1861,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1862,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1863,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1864,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1865,Hotelería y Turismo,,
1866,Ingeniería Civil Industrial,,
1867,Ingeniería Civil Industrial,,
1868,Ingeniería Civil Industrial,,
1869,Ingeniería Civil Industrial,,
1870,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1871,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1872,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1873,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1874,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1875,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1876,Ingeniería de Ejecución en Administración de Empresas,,
1877,Ingeniería de Ejecución en Administración de Empresas,,
1878,Ingeniería de Ejecución en Administración de Empresas,,
1879,Ingeniería de Ejecución en Administración de Empresas,,
1880,Ingeniería de Ejecución en Administración de Empresas,,
1881,Ingeniería de Ejecución en Informática,,
1882,Ingeniería de Ejecución en Informática,,
1883,Ingeniería de Ejecución en Informática,,
1884,Ingeniería de Ejecución Industrial,,
1885,Ingeniería de Ejecución Industrial,,
1886,Ingeniería de Ejecución Industrial,,
1887,Ingeniería en Bíoprocesos,,
1888,Ingeniería en Minas,,
1889,Ingeniería en Minas,,
1890,Ingeniería en Minas,,
1891,Ingeniería en Prevención de Riesgos y Medio Ambiente,,
1892,Ingeniería en Prevención de Riesgos y Medio Ambiente,,
1893,Ingeniería en Prevención de Riesgos y Medio Ambiente,,
1894,Ingeniería en Prevención de Riesgos y Medio Ambiente,,
1895,Ingeniería en Sonido y Acústica,,
1896,Intérprete en Danza,,
1897,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1898,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1899,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1900,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1901,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1902,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1903,Licenciatura en Artes Culinarias y Negocios Gastronómicos,,
1904,Licenciatura en Ciencias de la Actividad Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1905,Licenciatura en Ciencias de la Actividad Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1906,Licenciatura en Ciencias de la Actividad Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1907,Licenciatura en Ciencias de la Actividad Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1908,Licenciatura en Ciencias de la Actividad Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1909,Medicina Veterinaria,,
1910,Medicina Veterinaria,,
1911,Medicina Veterinaria,,
1912,Medicina Veterinaria,,
1913,Medicina Veterinaria,,
1914,Medicina Veterinaria,,
1915,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1916,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1917,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1918,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1919,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1920,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1921,Pedagogía en Biología y Ciencias Naturales,,
1922,Pedagogía en Educación Básica,,
1923,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1924,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1925,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1926,Pedagogía en Historia,,
1927,Pedagogía en Inglés,,
1928,Pedagogía en Lengua Castellana y Literatura,,
1929,Pedagogía en Matemática y Estadística,,
1930,Periodismo,,
1931,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1932,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1933,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1934,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1935,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1936,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1937,Publicidad,,
1938,Relaciones Públicas,,
1939,Relaciones Públicas,,
1940,Teatro y Comunicación Escénica,,
1941,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1942,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1943,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1944,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1945,Trabajo Social,,
1946,Trabajo Social,,
1947,Trabajo Social,,
1948,Trabajo Social,,
1949,Traducción e Intérprete en Inglés,,
1950,Traducción e Intérprete en Inglés,,
1951,Agronomía,,
1952,Contador Auditor,,
1953,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1954,Enfermería,ENFERMERIA DIURNO,ENFESG1
1955,Ingeniería Civil en Agroindustrias,,
1956,Ingeniería Civil en Industrial,,
1957,Ingeniería Civil en Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1958,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1959,Ingeniería en Agroindustrias,,
1960,Ingeniería en Electrónica y Telecomunicaciones,,
1961,Ingeniería en Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1962,Pedagogía en Biología y Ciencias Naturales,,
1963,Pedagogía en Educación Diferencial mención Dificultades Específicas del Aprendizaje,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1964,Pedagogía en Educación Física,PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1965,Pedagogía en Educación General Básica,,
1966,Pedagogía en Historia y Geografía,,
1967,Pedagogía en Inglés,,
1968,Pedagogía en Lengua Castellana y Comunicación,,
1969,Pedagogía en Matemática y Computación,,
1970,Pedagogía en Música mención Eduación Extraescolar,,
1971,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1972,Teología,,
1973,Trabajo Social,,
1974,Agronomía,,
1975,Comunicación Digital y Multimedia,,
1976,Contador Público y Auditor,,
1977,Diseño de Interiores,,
1978,Diseño de Vestuario y Textiles,,
1979,Diseño Gráfico,ANIMACION Y DISEÑO DIGITAL DIURNO,ANDISG1
1980,Enfermería,ENFERMERIA DIURNO,ENFESG1
1981,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1982,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1983,Licenciatura en Comunicación,,
1984,Medicina Veterinaria,,
1985,Música y Tecnología,,
1986,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1987,Periodismo,,
1988,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1989,Publicidad,,
1990,Relaciones Públicas,,
1991,Trabajo Social,,
1992,Administración de Negocios Turísticos y Hoteleros,,
1993,Agronomía,,
1994,Arquitectura,,
1995,Cine y Comunicación Audiovisual,,
1996,Contador Auditor,,
1997,Contador Auditor,,
1998,Derecho,DERECHO DIURNO,DERESG1
1999,Derecho,DERECHO DIURNO,DERESG1
2000,Diseño,ANIMACION Y DISEÑO DIGITAL DIURNO,ANDISG1
2001,Educación Básica,,
2002,Educación Básica,,
2003,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
2004,Enfermería,ENFERMERIA DIURNO,ENFESG1
2005,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
