id,title,Carrera UGM,UGM
1171,Educación Parvularia,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1172,Enfermería,ENFERMERIA DIURNO,ENFESG1
1173,Enfermería,ENFERMERIA DIURNO,ENFESG1
1174,Enfermería,ENFERMERIA DIURNO,ENFESG1
1175,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1176,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1177,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1178,Ingeniería Civil,,
1179,Ingeniería Civil,,
1180,Ingeniería Civil en Minas,,
1181,Ingeniería Civil en Minas,,
1182,Ingeniería Civil Industrial,,
1183,Ingeniería Civil Industrial,,
1184,Ingeniería Civil Industrial,,
1185,Ingeniería Civil Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1186,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1187,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1188,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1189,Ingeniería en Energía y Sustentabilidad Ambiental,,
1190,Ingeniería en Energía y Sustentabilidad Ambiental,,
1191,Ingeniería en Expediciones y Ecoturismo,,
1192,Ingeniería Civil Industrial,,
1193,Ingeniería Civil Industrial,,
1194,Ingeniería Civil Industrial,,
1195,Ingeniería Civil Informática,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1196,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1197,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1198,Ingeniería Comercial,INGENIERIA COMERCIAL DIURNO,ICOMSG1
1199,Ingeniería en Energía y Sustentabilidad Ambiental,,
1200,Ingeniería en Energía y Sustentabilidad Ambiental,,
1201,Ingeniería en Expediciones y Ecoturismo,,
1202,Ingeniería en Prevención de Riesgos y Medioambiente,,
1203,Ingeniería en Prevención de Riesgos y Medioambiente,,
1204,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1205,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1206,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1207,Medicina,,
1208,Medicina,,
1209,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1210,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1211,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1212,Obstetricia,,
1213,Obstetricia,,
1214,Odontología,,
1215,Pedagogía en Educación Básica,,
1216,Pedagogía en Educación Básica,,
1217,Pedagogía en Educación Básica,,
1218,Pedagogía Media en Historia y Geografía,,
1219,Pedagogía Media en Historia y Geografía,,
1220,Pedagogía Media en Inglés,,
1221,Pedagogía Media en Inglés,,
1222,Pedagogía Media en Inglés,,
1223,Pedagogía Media en Lenguaje y Comunicación,,
1224,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1225,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1226,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1227,Química y Farmacia,,
1228,Química y Farmacia,,
1229,Tecnología Médica,,
1230,Tecnología Médica,,
1231,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1232,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1233,Trabajo Social,,
1234,Trabajo Social,,
1235,Administración Turística MultilingÃ¼e,,
1236,Bibliotecología,,
1237,Dibujante Proyectista,,
1238,Diseño Gráfico,ANIMACION Y DISEÑO DIGITAL DIURNO,ANDISG1
1239,Educación Parvularia - San Felipe,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1240,Educación Parvularia - Valparaíso,PEDAGOGIA EN EDUCACION PARVULARIA DIURNO,EDPASG1
1241,Enfermería,ENFERMERIA DIURNO,ENFESG1
1242,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1243,Geografía,,
1244,Ingeniería Ambiental,,
1245,Ingeniería Civil Ambiental,,
1246,Ingeniería Civil Industrial,,
1247,Ingeniería Estadística,,
1248,Ingeniería Informática - San Felipe,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1249,Ingeniería Informática - Valparaíso,INGENIERÍA EN INFORMÁTICA DIURNO,IINFSG1
1250,Kinesiología,KINESIOLOGIA DIURNO,KINESG1
1251,Licenciatura en Arte,,
1252,Nutrición y Dietética,NUTRICION Y DIETETICA DIURNO,NUDISG1
1253,Pedagogía en Artes Plásticas,,
1254,Pedagogía en Biología y Ciencias,,
1255,Pedagogía en Castellano - San Felipe,,
1256,Pedagogía en Castellano - Valparaíso,,
1257,Pedagogía en Educación Básica - Diurno,,
1258,Pedagogía en Educación Básica - Vespertino,,
1259,Pedagogía en Educación Diferencial - San Felipe,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1260,Pedagogía en Educación Diferencial - Valparaíso,PEDAGOGIA EN EDUCACION DIFERENCIAL DIURNO,EDDISG1
1261,Pedagogía en Educación Física (Damas),PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1262,Pedagogía en Educación Física (Varones),PEDAGOGIA EN EDUCACION FISICA DIURNO,EDFISG1
1263,Pedagogía en Educación Musical,,
1264,Pedagogía en Filosofía,,
1265,Pedagogía en Física,,
1266,Pedagogía en Historia y Geografía - Diurno,,
1267,Pedagogía en Historia y Geografía - San Felipe,,
1268,Pedagogía en Historia y Geografía - Vespertino,,
1269,Pedagogía en Inglés - Diurno,,
1270,Pedagogía en Inglés - San Felipe,,
1271,Pedagogía en Inglés - Vespertino,,
1272,Pedagogía en Matemática,,
1273,Pedagogía en Química y Ciencia,,
1274,Periodismo,,
1275,Psicología,PSICOLOGÍA DIURNO,PSICSG1
1276,Sociología,,
1277,Teatro,,
1278,Tecnología en Deportes y Recreación,,
1279,Terapia Ocupacional,TERAPIA OCUPACIONAL DIURNO,TEOCSG1
1280,Traducción e Interpretación Inglés - Español,,
1281,Agronomía,,
1282,Animación Digital,ANIMACION Y DISEÑO DIGITAL DIURNO,ANDISG1
1283,Arquitectura,,
1284,Arquitectura - Temuco,,
1285,Biotecnología,,
1286,Cine,,
1287,Construcción Civil,,
1288,Derecho (Campus Oriente),DERECHO DIURNO,DERESG1
1289,Derecho (Manuel Montt),DERECHO DIURNO,DERESG1
1290,Derecho - Temuco,DERECHO DIURNO,DERESG1
1291,Diseño,ANIMACION Y DISEÑO DIGITAL DIURNO,ANDISG1
1292,Enfermería,ENFERMERIA DIURNO,ENFESG1
1293,Enfermería - Temuco,ENFERMERIA DIURNO,ENFESG1
1294,Fonoaudiología,FONOAUDIOLOGIA DIURNO,FONOSG1
1295,Geología,,
1296,Ingeniería Civil Electrónica,,
